2025-12-04,2025,December,Thursday,16:50,16,Fare Payment,4.12,RICHMOND HILL CENTRE,Work Commute
2025-10-17,2025,October,Friday,06:55,6,Fare Payment,4.12,YONGE ST / 16TH AVE,Errand
2025-10-21,2025,October,Tuesday,15:30,15,Free Transfer,0,DON MILLS STATION,Leisure
2025-10-26,2025,October,Sunday,07:45,7,Free Transfer,0,LESLIE ST / HIGHWAY 7,Errand
2025-12-27,2025,December,Saturday,17:55,17,Fare Payment,4.12,LESLIE ST / HIGHWAY 7,Errand
2025-12-05,2025,December,Friday,17:50,17,Fare Payment,4.12,RICHMOND HILL CENTRE,Errand
2025-12-13,2025,December,Saturday,17:25,17,Fare Payment,4.12,DON MILLS STATION,Leisure
2025-10-08,2025,October,Wednesday,16:20,16,Fare Payment,4.12,FINCH STATION,Leisure
2025-10-30,2025,October,Thursday,17:05,17,Fare Payment,4.12,FINCH STATION,Errand
2025-11-21,2025,November,Friday,08:50,8,Free Transfer,0,BAYVIEW AV / MAJOR MACKENZIE,Leisure
2025-11-30,2025,November,Sunday,16:00,16,Fare Payment,4.12,VALLEYMEDE DR / HWY 7,Work Commute
2025-12-26,2025,December,Friday,15:40,15,Fare Payment,4.12,BAYVIEW AV / MAJOR MACKENZIE,Work Commute
2025-10-12,2025,October,Sunday,06:25,6,Free Transfer,0,VALLEYMEDE DR / HWY 7,Work Commute
2025-10-05,2025,October,Sunday,06:30,6,Fare Payment,4.12,DON MILLS STATION,Errand
2025-10-19,2025,October,Sunday,07:55,7,Free Transfer,0,BAYVIEW AV / MAJOR MACKENZIE,Work Commute
2025-12-22,2025,December,Monday,06:05,6,Fare Payment,4.12,BAYVIEW AV / MAJOR MACKENZIE,Leisure
2025-10-11,2025,October,Saturday,08:10,8,Fare Payment,4.12,YONGE ST / 16TH AVE,Errand
2025-12-27,2025,December,Saturday,08:15,8,Fare Payment,4.12,LESLIE ST / HIGHWAY 7,Leisure
2025-10-16,2025,October,Thursday,15:40,15,Free Transfer,0,HIGH TECH RD / RED MAPLE RD,Work Commute
2025-12-12,2025,December,Friday,08:10,8,Free Transfer,0,BAYVIEW AV / MAJOR MACKENZIE,Work Commute
2025-10-23,2025,October,Thursday,17:15,17,Fare Payment,4.12,LESLIE ST / HIGHWAY 7,Errand
2025-10-06,2025,October,Monday,16:25,16,Fare Payment,4.12,YONGE ST / 16TH AVE,Leisure
2025-11-26,2025,November,Wednesday,16:20,16,Free Transfer,0,DON MILLS STATION,Work Commute
2025-10-08,2025,October,Wednesday,17:10,17,Fare Payment,4.12,VALLEYMEDE DR / HWY 7,Work Commute
2025-10-11,2025,October,Saturday,07:55,7,Fare Payment,4.12,RICHMOND HILL CENTRE,Errand
2025-11-01,2025,November,Saturday,16:40,16,Free Transfer,0,VALLEYMEDE DR / HWY 7,Errand
2025-11-10,2025,November,Monday,18:10,18,Free Transfer,0,LESLIE ST / HIGHWAY 7,Leisure
2025-12-25,2025,December,Thursday,18:05,18,Fare Payment,4.12,DON MILLS STATION,Work Commute
2025-10-17,2025,October,Friday,15:35,15,Fare Payment,4.12,BAYVIEW AV / MAJOR MACKENZIE,Errand
2025-12-27,2025,December,Saturday,16:55,16,Free Transfer,0,BAYVIEW AV / MAJOR MACKENZIE,Leisure
2025-10-13,2025,October,Monday,08:55,8,Fare Payment,4.12,DON MILLS STATION,Errand
2025-11-11,2025,November,Tuesday,06:15,6,Free Transfer,0,LESLIE ST / HIGHWAY 7,Work Commute
2025-10-11,2025,October,Saturday,07:00,7,Free Transfer,0,HIGH TECH RD / RED MAPLE RD,Leisure
2025-10-08,2025,October,Wednesday,15:30,15,Fare Payment,4.12,YONGE ST / 16TH AVE,Errand
2025-11-02,2025,November,Sunday,06:20,6,Fare Payment,4.12,LESLIE ST / HIGHWAY 7,Work Commute
2025-10-14,2025,October,Tuesday,17:35,17,Fare Payment,4.12,LESLIE ST / HIGHWAY 7,Work Commute
2025-12-22,2025,December,Monday,06:35,6,Fare Payment,4.12,DON MILLS STATION,Work Commute
2025-11-29,2025,November,Saturday,06:00,6,Fare Payment,4.12,YONGE ST / 16TH AVE,Work Commute
2025-12-16,2025,December,Tuesday,16:35,16,Free Transfer,0,LESLIE ST / HIGHWAY 7,Work Commute
2025-11-30,2025,November,Sunday,16:25,16,Free Transfer,0,HIGH TECH RD / RED MAPLE RD,Leisure
2025-12-13,2025,December,Saturday,08:05,8,Fare Payment,4.12,YONGE ST / 16TH AVE,Errand
2025-10-04,2025,October,Saturday,15:55,15,Fare Payment,4.12,YONGE ST / 16TH AVE,Work Commute
2025-11-22,2025,November,Saturday,16:40,16,Fare Payment,4.12,FINCH STATION,Leisure
2025-12-27,2025,December,Saturday,08:30,8,Free Transfer,0,RICHMOND HILL CENTRE,Leisure
2025-10-14,2025,October,Tuesday,08:05,8,Free Transfer,0,FINCH STATION,Leisure
2025-10-14,2025,October,Tuesday,07:55,7,Fare Payment,4.12,HIGH TECH RD / RED MAPLE RD,Work Commute
2025-12-29,2025,December,Monday,16:30,16,Fare Payment,4.12,LESLIE ST / HIGHWAY 7,Work Commute
2025-12-27,2025,December,Saturday,06:25,6,Fare Payment,4.12,DON MILLS STATION,Work Commute
2025-12-23,2025,December,Tuesday,15:05,15,Free Transfer,0,HIGH TECH RD / RED MAPLE RD,Leisure
2025-11-26,2025,November,Wednesday,08:40,8,Free Transfer,0,RICHMOND HILL CENTRE,Work Commute
2025-10-12,2025,October,Sunday,15:10,15,Free Transfer,0,RICHMOND HILL CENTRE,Leisure
2025-11-27,2025,November,Thursday,07:45,7,Fare Payment,4.12,YONGE ST / 16TH AVE,Errand
2025-12-23,2025,December,Tuesday,07:00,7,Fare Payment,4.12,DON MILLS STATION,Leisure
2025-11-04,2025,November,Tuesday,16:05,16,Fare Payment,4.12,FINCH STATION,Work Commute
2025-12-07,2025,December,Sunday,07:20,7,Fare Payment,4.12,RICHMOND HILL CENTRE,Leisure
2025-11-19,2025,November,Wednesday,07:30,7,Fare Payment,4.12,BAYVIEW AV / MAJOR MACKENZIE,Work Commute
2025-10-05,2025,October,Sunday,18:00,18,Fare Payment,4.12,LESLIE ST / HIGHWAY 7,Errand
2025-12-23,2025,December,Tuesday,08:55,8,Free Transfer,0,RICHMOND HILL CENTRE,Errand
2025-11-15,2025,November,Saturday,16:35,16,Fare Payment,4.12,BAYVIEW AV / MAJOR MACKENZIE,Work Commute
2025-12-11,2025,December,Thursday,06:40,6,Fare Payment,4.12,BAYVIEW AV / MAJOR MACKENZIE,Work Commute
2025-11-05,2025,November,Wednesday,17:50,17,Fare Payment,4.12,VALLEYMEDE DR / HWY 7,Work Commute
2025-12-19,2025,December,Friday,06:20,6,Fare Payment,4.12,DON MILLS STATION,Errand
2025-11-16,2025,November,Sunday,17:55,17,Fare Payment,4.12,FINCH STATION,Leisure
2025-10-11,2025,October,Saturday,06:45,6,Fare Payment,4.12,DON MILLS STATION,Work Commute
2025-12-23,2025,December,Tuesday,16:35,16,Free Transfer,0,LESLIE ST / HIGHWAY 7,Errand
2025-11-09,2025,November,Sunday,17:30,17,Fare Payment,4.12,LESLIE ST / HIGHWAY 7,Errand
2025-11-17,2025,November,Monday,06:15,6,Free Transfer,0,HIGH TECH RD / RED MAPLE RD,Errand
2025-12-05,2025,December,Friday,16:15,16,Fare Payment,4.12,YONGE ST / 16TH AVE,Work Commute
2025-11-23,2025,November,Sunday,08:15,8,Fare Payment,4.12,FINCH STATION,Errand
2025-11-21,2025,November,Friday,18:45,18,Fare Payment,4.12,LESLIE ST / HIGHWAY 7,Work Commute
2025-12-27,2025,December,Saturday,06:20,6,Fare Payment,4.12,DON MILLS STATION,Work Commute
2025-10-11,2025,October,Saturday,18:10,18,Fare Payment,4.12,LESLIE ST / HIGHWAY 7,Errand
2025-11-11,2025,November,Tuesday,07:55,7,Free Transfer,0,HIGH TECH RD / RED MAPLE RD,Leisure
2025-11-05,2025,November,Wednesday,17:55,17,Free Transfer,0,FINCH STATION,Leisure
2025-12-10,2025,December,Wednesday,15:35,15,Fare Payment,4.12,HIGH TECH RD / RED MAPLE RD,Leisure
2025-10-23,2025,October,Thursday,17:35,17,Fare Payment,4.12,VALLEYMEDE DR / HWY 7,Leisure
2025-11-28,2025,November,Friday,16:25,16,Free Transfer,0,DON MILLS STATION,Work Commute
2025-10-04,2025,October,Saturday,16:40,16,Free Transfer,0,HIGH TECH RD / RED MAPLE RD,Errand
2025-11-05,2025,November,Wednesday,15:10,15,Fare Payment,4.12,LESLIE ST / HIGHWAY 7,Work Commute
2025-10-19,2025,October,Sunday,15:30,15,Fare Payment,4.12,VALLEYMEDE DR / HWY 7,Errand
2025-11-30,2025,November,Sunday,07:05,7,Fare Payment,4.12,YONGE ST / 16TH AVE,Errand
2025-12-21,2025,December,Sunday,06:15,6,Free Transfer,0,DON MILLS STATION,Leisure
2025-10-25,2025,October,Saturday,16:05,16,Free Transfer,0,YONGE ST / 16TH AVE,Leisure
2025-11-29,2025,November,Saturday,08:15,8,Fare Payment,4.12,YONGE ST / 16TH AVE,Leisure
2025-10-21,2025,October,Tuesday,15:30,15,Free Transfer,0,FINCH STATION,Leisure
2025-11-14,2025,November,Friday,18:10,18,Free Transfer,0,VALLEYMEDE DR / HWY 7,Errand
2025-10-04,2025,October,Saturday,18:00,18,Fare Payment,4.12,RICHMOND HILL CENTRE,Errand
2025-10-08,2025,October,Wednesday,17:50,17,Free Transfer,0,DON MILLS STATION,Errand
2025-12-07,2025,December,Sunday,08:20,8,Fare Payment,4.12,HIGH TECH RD / RED MAPLE RD,Leisure
2025-11-26,2025,November,Wednesday,18:30,18,Free Transfer,0,DON MILLS STATION,Leisure
2025-11-29,2025,November,Saturday,08:10,8,Free Transfer,0,HIGH TECH RD / RED MAPLE RD,Errand
2025-12-14,2025,December,Sunday,16:40,16,Fare Payment,4.12,FINCH STATION,Work Commute
2025-10-10,2025,October,Friday,08:05,8,Free Transfer,0,BAYVIEW AV / MAJOR MACKENZIE,Errand
2025-12-01,2025,December,Monday,15:25,15,Fare Payment,4.12,FINCH STATION,Work Commute
2025-11-02,2025,November,Sunday,15:45,15,Fare Payment,4.12,DON MILLS STATION,Work Commute
2025-10-04,2025,October,Saturday,17:55,17,Free Transfer,0,LESLIE ST / HIGHWAY 7,Work Commute
2025-11-23,2025,November,Sunday,15:35,15,Free Transfer,0,FINCH STATION,Leisure
2025-10-05,2025,October,Sunday,08:15,8,Fare Payment,4.12,LESLIE ST / HIGHWAY 7,Errand
2025-11-22,2025,November,Saturday,18:50,18,Fare Payment,4.12,DON MILLS STATION,Errand
2025-10-10,2025,October,Friday,18:50,18,Free Transfer,0,BAYVIEW AV / MAJOR MACKENZIE,Leisure
2025-12-28,2025,December,Sunday,17:15,17,Fare Payment,4.12,VALLEYMEDE DR / HWY 7,Leisure
2025-11-22,2025,November,Saturday,08:00,8,Fare Payment,4.12,BAYVIEW AV / MAJOR MACKENZIE,Errand
2025-11-20,2025,November,Thursday,07:30,7,Fare Payment,4.12,YONGE ST / 16TH AVE,Errand
2025-10-04,2025,October,Saturday,15:50,15,Fare Payment,4.12,DON MILLS STATION,Errand
2025-12-10,2025,December,Wednesday,08:45,8,Free Transfer,0,BAYVIEW AV / MAJOR MACKENZIE,Leisure
2025-11-15,2025,November,Saturday,08:05,8,Fare Payment,4.12,DON MILLS STATION,Errand
2025-10-31,2025,October,Friday,17:35,17,Fare Payment,4.12,VALLEYMEDE DR / HWY 7,Leisure
2025-11-01,2025,November,Saturday,17:40,17,Free Transfer,0,RICHMOND HILL CENTRE,Errand
2025-10-18,2025,October,Saturday,07:25,7,Free Transfer,0,RICHMOND HILL CENTRE,Leisure
2025-10-02,2025,October,Thursday,15:10,15,Free Transfer,0,RICHMOND HILL CENTRE,Work Commute
2025-10-05,2025,October,Sunday,16:55,16,Fare Payment,4.12,DON MILLS STATION,Work Commute
2025-10-25,2025,October,Saturday,17:05,17,Fare Payment,4.12,DON MILLS STATION,Errand
2025-12-14,2025,December,Sunday,16:30,16,Fare Payment,4.12,LESLIE ST / HIGHWAY 7,Leisure
2025-12-24,2025,December,Wednesday,18:15,18,Fare Payment,4.12,YONGE ST / 16TH AVE,Leisure
2025-11-10,2025,November,Monday,16:35,16,Fare Payment,4.12,HIGH TECH RD / RED MAPLE RD,Work Commute
2025-12-07,2025,December,Sunday,15:30,15,Fare Payment,4.12,RICHMOND HILL CENTRE,Leisure
2025-12-25,2025,December,Thursday,08:35,8,Fare Payment,4.12,RICHMOND HILL CENTRE,Leisure
2025-12-09,2025,December,Tuesday,06:30,6,Fare Payment,4.12,BAYVIEW AV / MAJOR MACKENZIE,Leisure
2025-10-19,2025,October,Sunday,16:00,16,Fare Payment,4.12,HIGH TECH RD / RED MAPLE RD,Leisure
2025-11-27,2025,November,Thursday,16:00,16,Fare Payment,4.12,FINCH STATION,Work Commute
2025-10-04,2025,October,Saturday,15:35,15,Fare Payment,4.12,YONGE ST / 16TH AVE,Work Commute
2025-11-05,2025,November,Wednesday,07:25,7,Fare Payment,4.12,BAYVIEW AV / MAJOR MACKENZIE,Leisure
2025-12-17,2025,December,Wednesday,15:10,15,Free Transfer,0,VALLEYMEDE DR / HWY 7,Leisure
2025-12-17,2025,December,Wednesday,08:40,8,Free Transfer,0,YONGE ST / 16TH AVE,Leisure
2025-10-22,2025,October,Wednesday,07:40,7,Free Transfer,0,RICHMOND HILL CENTRE,Errand
2025-10-15,2025,October,Wednesday,08:25,8,Fare Payment,4.12,BAYVIEW AV / MAJOR MACKENZIE,Errand
2025-10-08,2025,October,Wednesday,18:50,18,Free Transfer,0,LESLIE ST / HIGHWAY 7,Work Commute
2025-11-26,2025,November,Wednesday,08:15,8,Free Transfer,0,HIGH TECH RD / RED MAPLE RD,Leisure
2025-10-19,2025,October,Sunday,15:45,15,Free Transfer,0,BAYVIEW AV / MAJOR MACKENZIE,Work Commute
2025-11-20,2025,November,Thursday,16:30,16,Fare Payment,4.12,HIGH TECH RD / RED MAPLE RD,Work Commute
2025-11-22,2025,November,Saturday,06:20,6,Fare Payment,4.12,YONGE ST / 16TH AVE,Errand
2025-10-19,2025,October,Sunday,06:45,6,Fare Payment,4.12,DON MILLS STATION,Leisure
2025-11-21,2025,November,Friday,07:25,7,Fare Payment,4.12,LESLIE ST / HIGHWAY 7,Errand
2025-11-13,2025,November,Thursday,17:10,17,Fare Payment,4.12,BAYVIEW AV / MAJOR MACKENZIE,Errand
2025-11-18,2025,November,Tuesday,07:50,7,Fare Payment,4.12,YONGE ST / 16TH AVE,Work Commute
2025-12-18,2025,December,Thursday,08:45,8,Fare Payment,4.12,VALLEYMEDE DR / HWY 7,Work Commute
2025-10-10,2025,October,Friday,06:50,6,Fare Payment,4.12,YONGE ST / 16TH AVE,Leisure
2025-11-24,2025,November,Monday,16:25,16,Fare Payment,4.12,RICHMOND HILL CENTRE,Leisure
2025-11-30,2025,November,Sunday,16:25,16,Fare Payment,4.12,DON MILLS STATION,Work Commute
2025-12-07,2025,December,Sunday,17:05,17,Fare Payment,4.12,DON MILLS STATION,Work Commute
2025-11-04,2025,November,Tuesday,07:20,7,Fare Payment,4.12,VALLEYMEDE DR / HWY 7,Work Commute
2025-12-10,2025,December,Wednesday,06:50,6,Fare Payment,4.12,RICHMOND HILL CENTRE,Errand
2025-12-19,2025,December,Friday,07:10,7,Free Transfer,0,BAYVIEW AV / MAJOR MACKENZIE,Leisure
2025-11-20,2025,November,Thursday,17:20,17,Fare Payment,4.12,LESLIE ST / HIGHWAY 7,Work Commute
2025-12-09,2025,December,Tuesday,06:00,6,Free Transfer,0,HIGH TECH RD / RED MAPLE RD,Work Commute
2025-10-19,2025,October,Sunday,16:20,16,Fare Payment,4.12,RICHMOND HILL CENTRE,Leisure
2025-10-13,2025,October,Monday,08:00,8,Fare Payment,4.12,LESLIE ST / HIGHWAY 7,Work Commute
2025-10-27,2025,October,Monday,08:45,8,Fare Payment,4.12,LESLIE ST / HIGHWAY 7,Errand
2025-11-20,2025,November,Thursday,07:40,7,Fare Payment,4.12,HIGH TECH RD / RED MAPLE RD,Leisure
2025-12-16,2025,December,Tuesday,07:50,7,Free Transfer,0,FINCH STATION,Work Commute
2025-10-21,2025,October,Tuesday,06:40,6,Fare Payment,4.12,LESLIE ST / HIGHWAY 7,Errand
2025-12-17,2025,December,Wednesday,16:35,16,Fare Payment,4.12,BAYVIEW AV / MAJOR MACKENZIE,Leisure
2025-12-01,2025,December,Monday,18:45,18,Fare Payment,4.12,RICHMOND HILL CENTRE,Work Commute
2025-12-10,2025,December,Wednesday,18:30,18,Fare Payment,4.12,BAYVIEW AV / MAJOR MACKENZIE,Errand
2025-10-05,2025,October,Sunday,18:30,18,Free Transfer,0,YONGE ST / 16TH AVE,Errand
2025-12-17,2025,December,Wednesday,18:35,18,Fare Payment,4.12,VALLEYMEDE DR / HWY 7,Errand
2025-11-04,2025,November,Tuesday,17:35,17,Fare Payment,4.12,RICHMOND HILL CENTRE,Leisure
2025-11-21,2025,November,Friday,15:30,15,Fare Payment,4.12,DON MILLS STATION,Work Commute
2025-10-25,2025,October,Saturday,18:45,18,Fare Payment,4.12,LESLIE ST / HIGHWAY 7,Errand
