Date,Year,Month,Weekday,Time,Hour,Transaction_Type,Amount,Location,Commute_Tag,IsPaidFare,MonthStart,WeekdayNum,DateTime
2025-12-16,2025,December,Tuesday,15:05:00,15,Fare Payment,4.12,DON MILLS STATION,Work Commute,1,2025-12-01,1,2025-12-16 15:00:00
2025-10-18,2025,October,Saturday,16:50:00,16,Fare Payment,4.12,YONGE ST / 16TH AVE,Errand,1,2025-10-01,5,2025-10-18 16:00:00
2025-12-13,2025,December,Saturday,08:10:00,8,Free Transfer,0.0,RICHMOND HILL CENTRE,Leisure,0,2025-12-01,5,2025-12-13 08:00:00
2025-11-16,2025,November,Sunday,07:30:00,7,Fare Payment,4.12,BAYVIEW AV / MAJOR MACKENZIE,Errand,1,2025-11-01,6,2025-11-16 07:00:00
2025-10-09,2025,October,Thursday,15:05:00,15,Free Transfer,0.0,BAYVIEW AV / MAJOR MACKENZIE,Work Commute,0,2025-10-01,3,2025-10-09 15:00:00
2025-10-27,2025,October,Monday,06:00:00,6,Free Transfer,0.0,YONGE ST / 16TH AVE,Work Commute,0,2025-10-01,0,2025-10-27 06:00:00
2025-12-22,2025,December,Monday,06:45:00,6,Fare Payment,4.12,LESLIE ST / HIGHWAY 7,Leisure,1,2025-12-01,0,2025-12-22 06:00:00
2025-11-27,2025,November,Thursday,07:45:00,7,Fare Payment,4.12,YONGE ST / 16TH AVE,Errand,1,2025-11-01,3,2025-11-27 07:00:00
2025-12-28,2025,December,Sunday,15:20:00,15,Fare Payment,4.12,DON MILLS STATION,Leisure,1,2025-12-01,6,2025-12-28 15:00:00
2025-12-24,2025,December,Wednesday,06:45:00,6,Fare Payment,4.12,FINCH STATION,Leisure,1,2025-12-01,2,2025-12-24 06:00:00
2025-10-29,2025,October,Wednesday,17:15:00,17,Fare Payment,4.12,BAYVIEW AV / MAJOR MACKENZIE,Work Commute,1,2025-10-01,2,2025-10-29 17:00:00
2025-10-22,2025,October,Wednesday,15:55:00,15,Fare Payment,4.12,DON MILLS STATION,Errand,1,2025-10-01,2,2025-10-22 15:00:00
2025-10-05,2025,October,Sunday,15:15:00,15,Fare Payment,4.12,RICHMOND HILL CENTRE,Leisure,1,2025-10-01,6,2025-10-05 15:00:00
2025-11-14,2025,November,Friday,08:50:00,8,Fare Payment,4.12,HIGH TECH RD / RED MAPLE RD,Errand,1,2025-11-01,4,2025-11-14 08:00:00
2025-12-07,2025,December,Sunday,07:55:00,7,Free Transfer,0.0,LESLIE ST / HIGHWAY 7,Leisure,0,2025-12-01,6,2025-12-07 07:00:00
2025-10-22,2025,October,Wednesday,08:45:00,8,Free Transfer,0.0,DON MILLS STATION,Leisure,0,2025-10-01,2,2025-10-22 08:00:00
2025-12-07,2025,December,Sunday,07:30:00,7,Fare Payment,4.12,LESLIE ST / HIGHWAY 7,Leisure,1,2025-12-01,6,2025-12-07 07:00:00
2025-12-22,2025,December,Monday,17:05:00,17,Fare Payment,4.12,FINCH STATION,Leisure,1,2025-12-01,0,2025-12-22 17:00:00
2025-10-14,2025,October,Tuesday,18:05:00,18,Fare Payment,4.12,LESLIE ST / HIGHWAY 7,Leisure,1,2025-10-01,1,2025-10-14 18:00:00
2025-12-24,2025,December,Wednesday,18:05:00,18,Fare Payment,4.12,VALLEYMEDE DR / HWY 7,Work Commute,1,2025-12-01,2,2025-12-24 18:00:00
2025-10-14,2025,October,Tuesday,17:45:00,17,Fare Payment,4.12,RICHMOND HILL CENTRE,Work Commute,1,2025-10-01,1,2025-10-14 17:00:00
2025-11-19,2025,November,Wednesday,08:05:00,8,Free Transfer,0.0,YONGE ST / 16TH AVE,Errand,0,2025-11-01,2,2025-11-19 08:00:00
2025-11-16,2025,November,Sunday,08:15:00,8,Fare Payment,4.12,FINCH STATION,Work Commute,1,2025-11-01,6,2025-11-16 08:00:00
2025-12-13,2025,December,Saturday,06:55:00,6,Free Transfer,0.0,DON MILLS STATION,Work Commute,0,2025-12-01,5,2025-12-13 06:00:00
2025-10-13,2025,October,Monday,07:00:00,7,Fare Payment,4.12,VALLEYMEDE DR / HWY 7,Work Commute,1,2025-10-01,0,2025-10-13 07:00:00
2025-12-28,2025,December,Sunday,16:45:00,16,Fare Payment,4.12,BAYVIEW AV / MAJOR MACKENZIE,Work Commute,1,2025-12-01,6,2025-12-28 16:00:00
2025-11-08,2025,November,Saturday,18:00:00,18,Fare Payment,4.12,VALLEYMEDE DR / HWY 7,Work Commute,1,2025-11-01,5,2025-11-08 18:00:00
2025-12-04,2025,December,Thursday,16:50:00,16,Fare Payment,4.12,RICHMOND HILL CENTRE,Work Commute,1,2025-12-01,3,2025-12-04 16:00:00
2025-10-17,2025,October,Friday,06:55:00,6,Fare Payment,4.12,YONGE ST / 16TH AVE,Errand,1,2025-10-01,4,2025-10-17 06:00:00
2025-10-21,2025,October,Tuesday,15:30:00,15,Free Transfer,0.0,DON MILLS STATION,Leisure,0,2025-10-01,1,2025-10-21 15:00:00
2025-10-26,2025,October,Sunday,07:45:00,7,Free Transfer,0.0,LESLIE ST / HIGHWAY 7,Errand,0,2025-10-01,6,2025-10-26 07:00:00
2025-12-27,2025,December,Saturday,17:55:00,17,Fare Payment,4.12,LESLIE ST / HIGHWAY 7,Errand,1,2025-12-01,5,2025-12-27 17:00:00
2025-12-05,2025,December,Friday,17:50:00,17,Fare Payment,4.12,RICHMOND HILL CENTRE,Errand,1,2025-12-01,4,2025-12-05 17:00:00
2025-12-13,2025,December,Saturday,17:25:00,17,Fare Payment,4.12,DON MILLS STATION,Leisure,1,2025-12-01,5,2025-12-13 17:00:00
2025-10-08,2025,October,Wednesday,16:20:00,16,Fare Payment,4.12,FINCH STATION,Leisure,1,2025-10-01,2,2025-10-08 16:00:00
2025-10-30,2025,October,Thursday,17:05:00,17,Fare Payment,4.12,FINCH STATION,Errand,1,2025-10-01,3,2025-10-30 17:00:00
2025-11-21,2025,November,Friday,08:50:00,8,Free Transfer,0.0,BAYVIEW AV / MAJOR MACKENZIE,Leisure,0,2025-11-01,4,2025-11-21 08:00:00
2025-11-30,2025,November,Sunday,16:00:00,16,Fare Payment,4.12,VALLEYMEDE DR / HWY 7,Work Commute,1,2025-11-01,6,2025-11-30 16:00:00
2025-12-26,2025,December,Friday,15:40:00,15,Fare Payment,4.12,BAYVIEW AV / MAJOR MACKENZIE,Work Commute,1,2025-12-01,4,2025-12-26 15:00:00
2025-10-12,2025,October,Sunday,06:25:00,6,Free Transfer,0.0,VALLEYMEDE DR / HWY 7,Work Commute,0,2025-10-01,6,2025-10-12 06:00:00
2025-10-05,2025,October,Sunday,06:30:00,6,Fare Payment,4.12,DON MILLS STATION,Errand,1,2025-10-01,6,2025-10-05 06:00:00
2025-10-19,2025,October,Sunday,07:55:00,7,Free Transfer,0.0,BAYVIEW AV / MAJOR MACKENZIE,Work Commute,0,2025-10-01,6,2025-10-19 07:00:00
2025-12-22,2025,December,Monday,06:05:00,6,Fare Payment,4.12,BAYVIEW AV / MAJOR MACKENZIE,Leisure,1,2025-12-01,0,2025-12-22 06:00:00
2025-10-11,2025,October,Saturday,08:10:00,8,Fare Payment,4.12,YONGE ST / 16TH AVE,Errand,1,2025-10-01,5,2025-10-11 08:00:00
2025-12-27,2025,December,Saturday,08:15:00,8,Fare Payment,4.12,LESLIE ST / HIGHWAY 7,Leisure,1,2025-12-01,5,2025-12-27 08:00:00
2025-10-16,2025,October,Thursday,15:40:00,15,Free Transfer,0.0,HIGH TECH RD / RED MAPLE RD,Work Commute,0,2025-10-01,3,2025-10-16 15:00:00
2025-12-12,2025,December,Friday,08:10:00,8,Free Transfer,0.0,BAYVIEW AV / MAJOR MACKENZIE,Work Commute,0,2025-12-01,4,2025-12-12 08:00:00
2025-10-23,2025,October,Thursday,17:15:00,17,Fare Payment,4.12,LESLIE ST / HIGHWAY 7,Errand,1,2025-10-01,3,2025-10-23 17:00:00
2025-10-06,2025,October,Monday,16:25:00,16,Fare Payment,4.12,YONGE ST / 16TH AVE,Leisure,1,2025-10-01,0,2025-10-06 16:00:00
2025-11-26,2025,November,Wednesday,16:20:00,16,Free Transfer,0.0,DON MILLS STATION,Work Commute,0,2025-11-01,2,2025-11-26 16:00:00
2025-10-08,2025,October,Wednesday,17:10:00,17,Fare Payment,4.12,VALLEYMEDE DR / HWY 7,Work Commute,1,2025-10-01,2,2025-10-08 17:00:00
2025-10-11,2025,October,Saturday,07:55:00,7,Fare Payment,4.12,RICHMOND HILL CENTRE,Errand,1,2025-10-01,5,2025-10-11 07:00:00
2025-11-01,2025,November,Saturday,16:40:00,16,Free Transfer,0.0,VALLEYMEDE DR / HWY 7,Errand,0,2025-11-01,5,2025-11-01 16:00:00
2025-11-10,2025,November,Monday,18:10:00,18,Free Transfer,0.0,LESLIE ST / HIGHWAY 7,Leisure,0,2025-11-01,0,2025-11-10 18:00:00
2025-12-25,2025,December,Thursday,18:05:00,18,Fare Payment,4.12,DON MILLS STATION,Work Commute,1,2025-12-01,3,2025-12-25 18:00:00
2025-10-17,2025,October,Friday,15:35:00,15,Fare Payment,4.12,BAYVIEW AV / MAJOR MACKENZIE,Errand,1,2025-10-01,4,2025-10-17 15:00:00
2025-12-27,2025,December,Saturday,16:55:00,16,Free Transfer,0.0,BAYVIEW AV / MAJOR MACKENZIE,Leisure,0,2025-12-01,5,2025-12-27 16:00:00
2025-10-13,2025,October,Monday,08:55:00,8,Fare Payment,4.12,DON MILLS STATION,Errand,1,2025-10-01,0,2025-10-13 08:00:00
2025-11-11,2025,November,Tuesday,06:15:00,6,Free Transfer,0.0,LESLIE ST / HIGHWAY 7,Work Commute,0,2025-11-01,1,2025-11-11 06:00:00
2025-10-11,2025,October,Saturday,07:00:00,7,Free Transfer,0.0,HIGH TECH RD / RED MAPLE RD,Leisure,0,2025-10-01,5,2025-10-11 07:00:00
2025-10-08,2025,October,Wednesday,15:30:00,15,Fare Payment,4.12,YONGE ST / 16TH AVE,Errand,1,2025-10-01,2,2025-10-08 15:00:00
2025-11-02,2025,November,Sunday,06:20:00,6,Fare Payment,4.12,LESLIE ST / HIGHWAY 7,Work Commute,1,2025-11-01,6,2025-11-02 06:00:00
2025-10-14,2025,October,Tuesday,17:35:00,17,Fare Payment,4.12,LESLIE ST / HIGHWAY 7,Work Commute,1,2025-10-01,1,2025-10-14 17:00:00
2025-12-22,2025,December,Monday,06:35:00,6,Fare Payment,4.12,DON MILLS STATION,Work Commute,1,2025-12-01,0,2025-12-22 06:00:00
2025-11-29,2025,November,Saturday,06:00:00,6,Fare Payment,4.12,YONGE ST / 16TH AVE,Work Commute,1,2025-11-01,5,2025-11-29 06:00:00
2025-12-16,2025,December,Tuesday,16:35:00,16,Free Transfer,0.0,LESLIE ST / HIGHWAY 7,Work Commute,0,2025-12-01,1,2025-12-16 16:00:00
2025-11-30,2025,November,Sunday,16:25:00,16,Free Transfer,0.0,HIGH TECH RD / RED MAPLE RD,Leisure,0,2025-11-01,6,2025-11-30 16:00:00
2025-12-13,2025,December,Saturday,08:05:00,8,Fare Payment,4.12,YONGE ST / 16TH AVE,Errand,1,2025-12-01,5,2025-12-13 08:00:00
2025-10-04,2025,October,Saturday,15:55:00,15,Fare Payment,4.12,YONGE ST / 16TH AVE,Work Commute,1,2025-10-01,5,2025-10-04 15:00:00
2025-11-22,2025,November,Saturday,16:40:00,16,Fare Payment,4.12,FINCH STATION,Leisure,1,2025-11-01,5,2025-11-22 16:00:00
2025-12-27,2025,December,Saturday,08:30:00,8,Free Transfer,0.0,RICHMOND HILL CENTRE,Leisure,0,2025-12-01,5,2025-12-27 08:00:00
2025-10-14,2025,October,Tuesday,08:05:00,8,Free Transfer,0.0,FINCH STATION,Leisure,0,2025-10-01,1,2025-10-14 08:00:00
2025-10-14,2025,October,Tuesday,07:55:00,7,Fare Payment,4.12,HIGH TECH RD / RED MAPLE RD,Work Commute,1,2025-10-01,1,2025-10-14 07:00:00
2025-12-29,2025,December,Monday,16:30:00,16,Fare Payment,4.12,LESLIE ST / HIGHWAY 7,Work Commute,1,2025-12-01,0,2025-12-29 16:00:00
2025-12-27,2025,December,Saturday,06:25:00,6,Fare Payment,4.12,DON MILLS STATION,Work Commute,1,2025-12-01,5,2025-12-27 06:00:00
2025-12-23,2025,December,Tuesday,15:05:00,15,Free Transfer,0.0,HIGH TECH RD / RED MAPLE RD,Leisure,0,2025-12-01,1,2025-12-23 15:00:00
2025-11-26,2025,November,Wednesday,08:40:00,8,Free Transfer,0.0,RICHMOND HILL CENTRE,Work Commute,0,2025-11-01,2,2025-11-26 08:00:00
2025-10-12,2025,October,Sunday,15:10:00,15,Free Transfer,0.0,RICHMOND HILL CENTRE,Leisure,0,2025-10-01,6,2025-10-12 15:00:00
2025-11-27,2025,November,Thursday,07:45:00,7,Fare Payment,4.12,YONGE ST / 16TH AVE,Errand,1,2025-11-01,3,2025-11-27 07:00:00
2025-12-23,2025,December,Tuesday,07:00:00,7,Fare Payment,4.12,DON MILLS STATION,Leisure,1,2025-12-01,1,2025-12-23 07:00:00
2025-11-04,2025,November,Tuesday,16:05:00,16,Fare Payment,4.12,FINCH STATION,Work Commute,1,2025-11-01,1,2025-11-04 16:00:00
2025-12-07,2025,December,Sunday,07:20:00,7,Fare Payment,4.12,RICHMOND HILL CENTRE,Leisure,1,2025-12-01,6,2025-12-07 07:00:00
2025-11-19,2025,November,Wednesday,07:30:00,7,Fare Payment,4.12,BAYVIEW AV / MAJOR MACKENZIE,Work Commute,1,2025-11-01,2,2025-11-19 07:00:00
2025-10-05,2025,October,Sunday,18:00:00,18,Fare Payment,4.12,LESLIE ST / HIGHWAY 7,Errand,1,2025-10-01,6,2025-10-05 18:00:00
2025-12-23,2025,December,Tuesday,08:55:00,8,Free Transfer,0.0,RICHMOND HILL CENTRE,Errand,0,2025-12-01,1,2025-12-23 08:00:00
2025-11-15,2025,November,Saturday,16:35:00,16,Fare Payment,4.12,BAYVIEW AV / MAJOR MACKENZIE,Work Commute,1,2025-11-01,5,2025-11-15 16:00:00
2025-12-11,2025,December,Thursday,06:40:00,6,Fare Payment,4.12,BAYVIEW AV / MAJOR MACKENZIE,Work Commute,1,2025-12-01,3,2025-12-11 06:00:00
2025-11-05,2025,November,Wednesday,17:50:00,17,Fare Payment,4.12,VALLEYMEDE DR / HWY 7,Work Commute,1,2025-11-01,2,2025-11-05 17:00:00
2025-12-19,2025,December,Friday,06:20:00,6,Fare Payment,4.12,DON MILLS STATION,Errand,1,2025-12-01,4,2025-12-19 06:00:00
2025-11-16,2025,November,Sunday,17:55:00,17,Fare Payment,4.12,FINCH STATION,Leisure,1,2025-11-01,6,2025-11-16 17:00:00
2025-10-11,2025,October,Saturday,06:45:00,6,Fare Payment,4.12,DON MILLS STATION,Work Commute,1,2025-10-01,5,2025-10-11 06:00:00
2025-12-23,2025,December,Tuesday,16:35:00,16,Free Transfer,0.0,LESLIE ST / HIGHWAY 7,Errand,0,2025-12-01,1,2025-12-23 16:00:00
2025-11-09,2025,November,Sunday,17:30:00,17,Fare Payment,4.12,LESLIE ST / HIGHWAY 7,Errand,1,2025-11-01,6,2025-11-09 17:00:00
2025-11-17,2025,November,Monday,06:15:00,6,Free Transfer,0.0,HIGH TECH RD / RED MAPLE RD,Errand,0,2025-11-01,0,2025-11-17 06:00:00
2025-12-05,2025,December,Friday,16:15:00,16,Fare Payment,4.12,YONGE ST / 16TH AVE,Work Commute,1,2025-12-01,4,2025-12-05 16:00:00
2025-11-23,2025,November,Sunday,08:15:00,8,Fare Payment,4.12,FINCH STATION,Errand,1,2025-11-01,6,2025-11-23 08:00:00
2025-11-21,2025,November,Friday,18:45:00,18,Fare Payment,4.12,LESLIE ST / HIGHWAY 7,Work Commute,1,2025-11-01,4,2025-11-21 18:00:00
2025-12-27,2025,December,Saturday,06:20:00,6,Fare Payment,4.12,DON MILLS STATION,Work Commute,1,2025-12-01,5,2025-12-27 06:00:00
2025-10-11,2025,October,Saturday,18:10:00,18,Fare Payment,4.12,LESLIE ST / HIGHWAY 7,Errand,1,2025-10-01,5,2025-10-11 18:00:00
2025-11-11,2025,November,Tuesday,07:55:00,7,Free Transfer,0.0,HIGH TECH RD / RED MAPLE RD,Leisure,0,2025-11-01,1,2025-11-11 07:00:00
2025-11-05,2025,November,Wednesday,17:55:00,17,Free Transfer,0.0,FINCH STATION,Leisure,0,2025-11-01,2,2025-11-05 17:00:00
2025-12-10,2025,December,Wednesday,15:35:00,15,Fare Payment,4.12,HIGH TECH RD / RED MAPLE RD,Leisure,1,2025-12-01,2,2025-12-10 15:00:00
2025-10-23,2025,October,Thursday,17:35:00,17,Fare Payment,4.12,VALLEYMEDE DR / HWY 7,Leisure,1,2025-10-01,3,2025-10-23 17:00:00
2025-11-28,2025,November,Friday,16:25:00,16,Free Transfer,0.0,DON MILLS STATION,Work Commute,0,2025-11-01,4,2025-11-28 16:00:00
2025-10-04,2025,October,Saturday,16:40:00,16,Free Transfer,0.0,HIGH TECH RD / RED MAPLE RD,Errand,0,2025-10-01,5,2025-10-04 16:00:00
2025-11-05,2025,November,Wednesday,15:10:00,15,Fare Payment,4.12,LESLIE ST / HIGHWAY 7,Work Commute,1,2025-11-01,2,2025-11-05 15:00:00
2025-10-19,2025,October,Sunday,15:30:00,15,Fare Payment,4.12,VALLEYMEDE DR / HWY 7,Errand,1,2025-10-01,6,2025-10-19 15:00:00
2025-11-30,2025,November,Sunday,07:05:00,7,Fare Payment,4.12,YONGE ST / 16TH AVE,Errand,1,2025-11-01,6,2025-11-30 07:00:00
2025-12-21,2025,December,Sunday,06:15:00,6,Free Transfer,0.0,DON MILLS STATION,Leisure,0,2025-12-01,6,2025-12-21 06:00:00
2025-10-25,2025,October,Saturday,16:05:00,16,Free Transfer,0.0,YONGE ST / 16TH AVE,Leisure,0,2025-10-01,5,2025-10-25 16:00:00
2025-11-29,2025,November,Saturday,08:15:00,8,Fare Payment,4.12,YONGE ST / 16TH AVE,Leisure,1,2025-11-01,5,2025-11-29 08:00:00
2025-10-21,2025,October,Tuesday,15:30:00,15,Free Transfer,0.0,FINCH STATION,Leisure,0,2025-10-01,1,2025-10-21 15:00:00
2025-11-14,2025,November,Friday,18:10:00,18,Free Transfer,0.0,VALLEYMEDE DR / HWY 7,Errand,0,2025-11-01,4,2025-11-14 18:00:00
2025-10-04,2025,October,Saturday,18:00:00,18,Fare Payment,4.12,RICHMOND HILL CENTRE,Errand,1,2025-10-01,5,2025-10-04 18:00:00
2025-10-08,2025,October,Wednesday,17:50:00,17,Free Transfer,0.0,DON MILLS STATION,Errand,0,2025-10-01,2,2025-10-08 17:00:00
2025-12-07,2025,December,Sunday,08:20:00,8,Fare Payment,4.12,HIGH TECH RD / RED MAPLE RD,Leisure,1,2025-12-01,6,2025-12-07 08:00:00
2025-11-26,2025,November,Wednesday,18:30:00,18,Free Transfer,0.0,DON MILLS STATION,Leisure,0,2025-11-01,2,2025-11-26 18:00:00
2025-11-29,2025,November,Saturday,08:10:00,8,Free Transfer,0.0,HIGH TECH RD / RED MAPLE RD,Errand,0,2025-11-01,5,2025-11-29 08:00:00
2025-12-14,2025,December,Sunday,16:40:00,16,Fare Payment,4.12,FINCH STATION,Work Commute,1,2025-12-01,6,2025-12-14 16:00:00
2025-10-10,2025,October,Friday,08:05:00,8,Free Transfer,0.0,BAYVIEW AV / MAJOR MACKENZIE,Errand,0,2025-10-01,4,2025-10-10 08:00:00
2025-12-01,2025,December,Monday,15:25:00,15,Fare Payment,4.12,FINCH STATION,Work Commute,1,2025-12-01,0,2025-12-01 15:00:00
2025-11-02,2025,November,Sunday,15:45:00,15,Fare Payment,4.12,DON MILLS STATION,Work Commute,1,2025-11-01,6,2025-11-02 15:00:00
2025-10-04,2025,October,Saturday,17:55:00,17,Free Transfer,0.0,LESLIE ST / HIGHWAY 7,Work Commute,0,2025-10-01,5,2025-10-04 17:00:00
2025-11-23,2025,November,Sunday,15:35:00,15,Free Transfer,0.0,FINCH STATION,Leisure,0,2025-11-01,6,2025-11-23 15:00:00
2025-10-05,2025,October,Sunday,08:15:00,8,Fare Payment,4.12,LESLIE ST / HIGHWAY 7,Errand,1,2025-10-01,6,2025-10-05 08:00:00
2025-11-22,2025,November,Saturday,18:50:00,18,Fare Payment,4.12,DON MILLS STATION,Errand,1,2025-11-01,5,2025-11-22 18:00:00
2025-10-10,2025,October,Friday,18:50:00,18,Free Transfer,0.0,BAYVIEW AV / MAJOR MACKENZIE,Leisure,0,2025-10-01,4,2025-10-10 18:00:00
2025-12-28,2025,December,Sunday,17:15:00,17,Fare Payment,4.12,VALLEYMEDE DR / HWY 7,Leisure,1,2025-12-01,6,2025-12-28 17:00:00
2025-11-22,2025,November,Saturday,08:00:00,8,Fare Payment,4.12,BAYVIEW AV / MAJOR MACKENZIE,Errand,1,2025-11-01,5,2025-11-22 08:00:00
2025-11-20,2025,November,Thursday,07:30:00,7,Fare Payment,4.12,YONGE ST / 16TH AVE,Errand,1,2025-11-01,3,2025-11-20 07:00:00
2025-10-04,2025,October,Saturday,15:50:00,15,Fare Payment,4.12,DON MILLS STATION,Errand,1,2025-10-01,5,2025-10-04 15:00:00
2025-12-10,2025,December,Wednesday,08:45:00,8,Free Transfer,0.0,BAYVIEW AV / MAJOR MACKENZIE,Leisure,0,2025-12-01,2,2025-12-10 08:00:00
2025-11-15,2025,November,Saturday,08:05:00,8,Fare Payment,4.12,DON MILLS STATION,Errand,1,2025-11-01,5,2025-11-15 08:00:00
2025-10-31,2025,October,Friday,17:35:00,17,Fare Payment,4.12,VALLEYMEDE DR / HWY 7,Leisure,1,2025-10-01,4,2025-10-31 17:00:00
2025-11-01,2025,November,Saturday,17:40:00,17,Free Transfer,0.0,RICHMOND HILL CENTRE,Errand,0,2025-11-01,5,2025-11-01 17:00:00
2025-10-18,2025,October,Saturday,07:25:00,7,Free Transfer,0.0,RICHMOND HILL CENTRE,Leisure,0,2025-10-01,5,2025-10-18 07:00:00
2025-10-02,2025,October,Thursday,15:10:00,15,Free Transfer,0.0,RICHMOND HILL CENTRE,Work Commute,0,2025-10-01,3,2025-10-02 15:00:00
2025-10-05,2025,October,Sunday,16:55:00,16,Fare Payment,4.12,DON MILLS STATION,Work Commute,1,2025-10-01,6,2025-10-05 16:00:00
